fid_1,DN,AREA,MEAN,Shape_Leng,Shape_Area,Usable_SR_,Elec_prod_,geometry
52,1,32.00000000000,1466.03106689000,0.00022766701,0.00000000280,46.91299414050,8.41056158951,"MULTIPOLYGON (((86.436216781679207 23.818514738864167, 86.436216936362598 23.818478843323987, 86.436294918375836 23.818479187764353, 86.436294764591764 23.818514992472956, 86.436216781679207 23.818514738864167)))"
53,1,160.00000000000,1524.88715820000,0.00067070691,0.00000001818,243.98194531200,43.74108315550,"MULTIPOLYGON (((86.436606461519034 23.818552079614847, 86.436606924669888 23.818444483825942, 86.436684906683183 23.818444736535412, 86.436684751999735 23.818480632075534, 86.436723743006382 23.818480713014537, 86.436723434538919 23.818552504094839, 86.4"
54,1,448.00000000000,1557.01349313000,0.00229911919,0.00000007464,697.54204492200,125.05533781400,"MULTIPOLYGON (((86.437351609189477 23.818662323007857, 86.43735191765694 23.818590622759075, 86.437390907764268 23.818590794529598, 86.437391062447659 23.818554898989476, 86.437508033668848 23.818555322570148, 86.43750818745292 23.818519427029969, 86.437"
55,1,672.00000000000,1499.93652344000,0.00324370900,0.00000010995,1007.95734375000,180.70659258800,"MULTIPOLYGON (((86.439982736813931 23.818784013871209, 86.439943748505243 23.818783932932206, 86.439943902289315 23.818743504808936, 86.439904913980627 23.818743424769309, 86.439905068664018 23.81870752922913, 86.439866080355387 23.818707358357926, 86.43"
56,1,368.00000000000,1527.09034795000,0.00097997860,0.00000003601,561.96924804600,100.74984679000,"MULTIPOLYGON (((86.43680203348714 23.818409265475282, 86.436802497537315 23.818301669686377, 86.436841487644585 23.818301841456844, 86.436841642327977 23.818265945916721, 86.436924487874876 23.818266220209921, 86.436924334090804 23.8183021157501, 86.4369"
57,1,128.00000000000,1539.77601624000,0.00059883871,0.00000001678,197.09133007900,35.33453365650,"MULTIPOLYGON (((86.436451269110819 23.818372095595805, 86.436451809603398 23.81826450160554, 86.436568706180879 23.818264925186213, 86.436568551497487 23.818300820726336, 86.436607542504134 23.818300992496859, 86.436607234036671 23.818372692745641, 86.43"
58,1,112.00000000000,1563.19151088000,0.00052092668,0.00000001119,175.07744921900,31.38788509590,"MULTIPOLYGON (((86.438337709517725 23.818271437177145, 86.43833817266858 23.818163840488921, 86.438416151983859 23.818164092299071, 86.438415842617076 23.818235793447172, 86.438454832724403 23.818235964318376, 86.438454678041012 23.818271859858498, 86.43"
59,1,176.00000000000,1539.27562367000,0.00052710796,0.00000001678,270.91250976600,48.56919475080,"MULTIPOLYGON (((86.438966403976394 23.818273744837484, 86.438966867127249 23.818166149048579, 86.439122823059904 23.818166651769616, 86.439122359909049 23.81827424845784, 86.438966403976394 23.818273744837484)))"
60,1,192.00000000000,1563.82867432000,0.00083891248,0.00000001871,300.25510546900,53.82973530860,"MULTIPOLYGON (((86.436881404952942 23.818082288167091, 86.436881559636333 23.818046392626968, 86.436925415075905 23.818046585981222, 86.436925568859976 23.818010690441042, 86.436964559866624 23.818010862211565, 86.436964251399161 23.818082562460347, 86.4"
61,1,48.00000000000,1536.80847168000,0.00029920843,0.00000000419,73.76680664060,13.22491309450,"MULTIPOLYGON (((86.438338558477767 23.818087609455688, 86.43833886694523 23.818015908307586, 86.438377857052501 23.818015989246533, 86.43837770236911 23.818051884786712, 86.438416615134713 23.818052054758596, 86.438416460451322 23.818087859467198, 86.438"
